Fecha,Gas87,Gas91,Diesel
01/01/17,15.99,17.79,17.05
02/01/17,16.02,17.82,17.08
03/01/17,16.02,17.83,17.08
04/01/17,16.02,17.83,17.08
05/01/17,16.02,17.83,17.08
06/01/17,16.02,17.83,17.08
07/01/17,16.02,17.83,17.08
08/01/17,16.02,17.83,17.08
09/01/17,16.02,17.83,17.09
10/01/17,16.02,17.83,17.08
11/01/17,16.01,17.82,17.08
12/01/17,16.01,17.83,17.08
13/01/17,16.01,17.82,17.08
14/01/17,16,17.82,17.07
15/01/17,16,17.82,17.07
16/01/17,16,17.82,17.07
17/01/17,16,17.81,17.07
18/01/17,16,17.81,17.07
19/01/17,16,17.81,17.07
20/01/17,16,17.81,17.07
21/01/17,16,17.81,17.07
22/01/17,16,17.81,17.07
23/01/17,16,17.81,17.07
24/01/17,16,17.81,17.07
25/01/17,16,17.81,17.07
26/01/17,15.99,17.8,17.07
27/01/17,15.99,17.81,17.07
28/01/17,15.99,17.81,17.07
29/01/17,15.99,17.81,17.07
30/01/17,15.99,17.81,17.07
31/01/17,15.99,17.82,17.08
01/02/17,15.91,17.77,17.08
02/02/17,15.89,17.74,17.08
03/02/17,15.88,17.74,17.08
04/02/17,15.87,17.73,17.08
05/02/17,15.86,17.73,17.08
06/02/17,15.86,17.73,17.07
07/02/17,15.86,17.72,17.07
08/02/17,15.86,17.72,17.07
09/02/17,15.85,17.72,17.07
10/02/17,15.84,17.72,17.07
11/02/17,15.84,17.71,17.07
12/02/17,15.8,17.68,17.08
13/02/17,15.75,17.66,17.09
14/02/17,15.71,17.64,17.09
15/02/17,15.69,17.62,17.09
16/02/17,15.69,17.62,17.09
17/02/17,15.67,17.62,17.1
18/02/17,15.93,17.76,17.05
19/02/17,15.93,17.76,17.06
20/02/17,15.93,17.76,17.06
21/02/17,15.92,17.75,17.06
22/02/17,15.92,17.75,17.06
23/02/17,15.91,17.74,17.06
24/02/17,15.9,17.73,17.03
25/02/17,15.89,17.73,17.03
26/02/17,15.89,17.73,17.03
27/02/17,15.89,17.73,17.03
